day	month	year	hour	minute	second	Temperature	Humidity	Luminosity
09	05	26	20	21	14	28.2	51.0	56.0
09	05	26	20	21	15	28.3	50.0	51.0
09	05	26	20	21	16	28.7	51.0	47.0
09	05	26	20	21	17	27.5	51.0	44.0
09	05	26	20	21	18	27.2	53.0	39.0
09	05	26	20	21	19	28.3	52.0	36.0
09	05	26	20	21	20	27.6	53.0	34.0
09	05	26	20	21	21	26.8	54.0	33.0
09	05	26	20	21	22	27.9	54.0	31.0
09	05	26	20	21	23	27.8	55.0	29.0
09	05	26	20	21	24	26.5	56.0	30.0
09	05	26	20	21	25	27.0	55.0	31.0
09	05	26	20	21	26	27.3	57.0	33.0
09	05	26	20	21	27	26.8	57.0	35.0
09	05	26	20	21	28	26.3	58.0	38.0
09	05	26	20	21	29	26.1	59.0	42.0
09	05	26	20	21	30	24.9	60.0	46.0
09	05	26	20	21	31	25.5	61.0	50.0
09	05	26	20	21	32	24.4	60.0	54.0
09	05	26	20	21	33	25.1	61.0	56.0
09	05	26	20	21	34	23.7	61.0	62.0
09	05	26	20	21	35	24.0	62.0	64.0
09	05	26	20	21	36	24.5	63.0	66.0
09	05	26	20	21	37	23.4	63.0	68.0
09	05	26	20	21	38	23.5	65.0	69.0
09	05	26	20	21	39	23.7	65.0	70.0
09	05	26	20	21	40	23.1	66.0	71.0
09	05	26	20	21	41	21.9	65.0	68.0
09	05	26	20	21	42	21.9	66.0	67.0
09	05	26	20	21	43	21.2	67.0	64.0
09	05	26	20	21	44	22.3	68.0	61.0
09	05	26	20	21	45	21.1	68.0	58.0
09	05	26	20	21	46	22.5	68.0	54.0
09	05	26	20	21	47	22.5	68.0	49.0
09	05	26	20	21	48	21.3	69.0	46.0
09	05	26	20	21	49	21.4	69.0	42.0
09	05	26	20	21	50	21.8	69.0	38.0
09	05	26	20	21	51	21.9	69.0	35.0
09	05	26	20	21	52	22.4	71.0	32.0
09	05	26	20	21	53	22.1	69.0	32.0
09	05	26	20	21	54	22.6	69.0	29.0
09	05	26	20	21	55	23.8	69.0	31.0
09	05	26	20	21	56	22.8	71.0	31.0
09	05	26	20	21	57	24.2	69.0	32.0
09	05	26	20	21	58	22.7	69.0	34.0
09	05	26	20	21	59	24.4	69.0	36.0
